memeid,filename,uppercaption,lowercaption,upvote,best_score,worst_score,bws_score,humor_two_class,subset,url
3764,disaster-girl.jpg,you know what i got for christmas?,revenge.,127.0,1.0,0.0,1.0,1,9,https://memegenerator.net/instance/32594705/disaster-girl-you-know-what-i-got-for-christmas-revenge
9213,southpark-bad-time-meme.jpg,if you eat chipotle before a run,you're gonna have a bad time,9.0,1.0,0.0,1.0,1,4,http://he.memegenerator.net/instance/21493360/southpark-bad-time-meme-if-you-eat-chipotle-before-a-run-youre-gonna-have-a-bad-time
7053,so-youre-telling-me.jpg,so you're telling me you freeze water,so you can add water to your water?,100.0,1.0,0.0,1.0,1,9,https://memegenerator.net/instance/24485939/so-youre-telling-me-so-youre-telling-me-you-freeze-water-so-you-can-add-water-to-your-water
10211,that-would-be-great.jpg,if people could delete their old posts,that would be great,26.0,1.0,0.0,1.0,1,8,https://memegenerator.net/instance/41422732/that-would-be-great-if-people-could-delete-their-old-posts-that-would-be-great
9176,southpark-bad-time-meme.jpg,if you think electing a new president will fix the country,you're gonna have a bad time,26.0,1.0,0.0,1.0,1,9,http://he.memegenerator.net/instance/66722776/southpark-bad-time-meme-if-you-think-electing-a-new-president-will-fix-the-country-youre-gonna-have-
7820,sudden-realization-ralph.jpg,mummies,are egyptian zombies,59.0,1.0,0.0,1.0,1,9,https://memegenerator.net/instance/22844663/sudden-realization-ralph-mummies-are-egyptian-zombies
8429,african-children-dancing.jpg,when the elevator door closes,and you're the only one in there,13.0,1.0,0.0,1.0,1,8,https://memegenerator.net/instance/43026234/african-children-dancing-when-the-elevator-door-closes-and-youre-the-only-one-in-there
13964,maury-lie-detector.jpg,you said that our government is doing a good job,our lie detector determined that that was a lie!,12.0,1.0,0.0,1.0,1,3,http://es.memegenerator.net/instance/44676494/maury-lie-detector-you-said-that-our-government-is-doing-a-good-job-our-lie-detector-determined-that
12937,paranoid-parrot.jpg,socks missing,illuminati,61.0,1.0,0.0,1.0,1,9,https://memegenerator.net/instance/10267802/paranoid-parrot-socks-missing-illuminati
5759,mr-bean.jpg,when you are born in november,your parents had an awesome valentine's day,8.0,1.0,0.0,1.0,1,1,https://memegenerator.net/instance/34727959/mr-bean-when-you-are-born-in-november-your-parents-had-an-awesome-valentines-day
3925,socially-awkward-penguin.jpg,trip over crack in sidewalk,start jogging.,182.0,1.0,0.0,1.0,1,4,https://memegenerator.net/instance/12628998/socially-awkward-penguin-trip-over-crack-in-sidewalk-start-jogging
8447,african-children-dancing.jpg,everybody,dance now !!!,8.0,1.0,0.0,1.0,1,9,https://memegenerator.net/instance/45780721/disco-hitler-utv-premierenparty-everybody-dance-now
6776,drunk-baby-1.jpg,"you'd be wise to listen to my words, nigel",just doing the one top button up on your fleece gets all the wenches dripping,13.0,1.0,0.0,1.0,1,9,https://memegenerator.net/instance/25381155/drunk-baby-1-youd-be-wise-to-listen-to-my-words-nigel-just-doing-the-one-top-button-up-on-your-fleec
9021,see-nobody-cares.jpg,he's a famous youtuber,see nobody cares,32.0,1.0,0.0,1.0,1,0,https://memegenerator.net/instance/68205230/see-nobody-cares-hes-a-famous-youtuber-see-nobody-cares
7529,skeptical-african-child.jpg,so you're telling me,i only have to ask willis what he is talking about?,24.0,1.0,0.0,1.0,1,3,None
8721,imagination.jpg,2019,let's make it epic!,18.0,1.0,0.0,1.0,1,9,None
14741,kermit-the-frog.jpg,oh look ,i found your nose in my business,2.0,1.0,0.0,1.0,1,9,http://es.memegenerator.net/instance/59552651/kermit-the-frog-oh-look-i-found-your-nose-in-my-business
6640,business-cat.jpg,could you get me that report,i'll knead it tomorrow,23.0,1.0,0.0,1.0,1,2,https://memegenerator.net/instance/18016256/business-cat-could-you-get-me-that-report-ill-knead-it-tomorrow
3632,annoying-facebook-girl.jpg,supports women's rights,still makes her boyfriend pay for dinner,100.0,1.0,0.0,1.0,1,9,https://memegenerator.net/instance/15462367/annoying-facebook-girl-supports-womens-rights-still-makes-her-boyfriend-pay-for-dinner
1723,forever-alone.jpg,3 people threesome 2 people twosome ,now i know why they call you handsome ,87.0,1.0,0.0,1.0,1,2,https://memegenerator.net/instance/12052295/forever-alone-3-people-threesome-2-people-twosome-now-i-know-why-they-call-you-handsome
1717,forever-alone.jpg,just married ...,... in skyrim!,92.0,1.0,0.0,1.0,1,9,https://memegenerator.net/instance/11430486/forever-alone-just-married-in-skyrim
1688,forever-alone.jpg,i talked to a girl,then i woke up,127.0,1.0,0.0,1.0,1,9,https://memegenerator.net/instance/12676185/forever-alone-i-talked-to-a-girl-then-i-woke-up
8575,chemistry-cat.jpg,what's my favorite heavy metal group?,lanthanides,33.0,1.0,0.0,1.0,1,5,None
9468,skeptical-african-kid.jpg,so you're saying,11 is not pronounced onetyone?,27.0,0.8333333333333334,0.0,0.8333333333333334,1,1,https://memegenerator.net/instance/81609724/skeptical-african-kid-so-youre-saying-11-is-not-pronounced-onetyone
12783,bear-grylls.jpg,visits public pool,drinks all the water,25.0,0.8,0.0,0.8,1,2,https://memegenerator.net/instance/71507930/bear-grylls-visits-public-pool-drinks-all-the-water
10508,internet-husband.jpg,ignores real family,play with his adopted kids in skyrim,121.0,0.8,0.0,0.8,1,5,https://memegenerator.net/instance/27852994
12031,challenge-accepted-2.jpg,chuck norris wants fight,challenge denied,11.0,0.8,0.0,0.8,1,9,https://memegenerator.net/instance/21731471/challenge-accepted-2-chuck-norris-wants-fight-challenge-denied
4402,dr-evil-meme.jpg,sitting at the computer all day,"it's ""work""",10.0,0.8,0.0,0.8,1,1,https://memegenerator.net/instance/52262827
12014,challenge-accepted-2.jpg,gonna study tomorrow all day,from 6 am,30.0,0.8,0.0,0.8,1,6,https://memegenerator.net/instance/11676891/challenge-accepted-2-gonna-study-tomorrow-all-day-from-6-am
11862,i-should-buy-a-boat-cat.jpg,,i should buy a castle,17.0,0.8,0.0,0.8,1,9,https://memegenerator.net/I-Should-Buy-A-Boat-Cat
4961,foul-bachelor-frog.jpg,tells friends hes busy,does absolutley nothing for the entire day,174.0,0.8,0.0,0.8,1,8,https://memegenerator.net/instance/11152229/foul-bachelor-frog-tells-friends-hes-busy-does-absolutley-nothing-for-the-entire-day
12021,challenge-accepted-2.jpg,go to walmart and buy one thing,challenge accepted,18.0,0.8,0.0,0.8,1,9,None
6191,butthurt-dweller.jpg,what happens in vegas,will never happen to me in vegas,48.0,0.8,0.0,0.8,1,9,None
5922,chuck-norris.jpg,some people wear superman pajamas,superman wears chuck norris pajamas,32.0,0.8,0.0,0.8,1,6,https://memegenerator.net/instance/82208261/chuck-norris-some-people-wear-superman-pajamas-superman-wears-chuck-norris-pajamas
3653,annoying-facebook-girl.jpg,omg i'm so ugly,in all 500 of my pics,73.0,0.8,0.0,0.8,1,0,https://memegenerator.net/instance/10833516/annoying-facebook-girl-omg-im-so-ugly-in-all-500-of-my-pics
7530,skeptical-african-child.jpg,so you're telling me,that someone i don't even know wants to send me 65 cents a day?,23.0,0.8,0.0,0.8,1,5,None
3798,disaster-girl.jpg,i spelled flammable wrong in the spelling bee,i showed them i still know the meaning,57.0,0.8,0.0,0.8,1,3,https://memegenerator.net/instance/51746282/disaster-girl-i-spelled-flammable-wrong-in-the-spelling-bee-i-showed-them-i-still-know-the-meaning
13221,ihate.jpg,indestructable,condom wrapper,24.0,0.8,0.0,0.8,1,4,None
11132,batman-slappp.jpg,happy easter and if you are offended by that,i wasn't talking to you,19.0,0.8,0.0,0.8,1,1,None
628,futurama-fry.jpg,not sure if             pets mart,or pet smart,129.0,0.8,0.0,0.8,1,9,https://memegenerator.net/instance/12090698/futurama-fry-not-sure-if-pets-mart-or-pet-smart
9604,fat-chinese-kid.jpg,hi,nice to eat you,70.0,0.8,0.0,0.8,1,9,https://memegenerator.net/instance/50118822/fat-chinese-kid-hi-nice-to-eat-you-i-still-have-the-valdarno-in-texas-city-5th-do-you-wanna-fix-it-w
9349,chill-out-lemur.jpg,whoa whoa whoa,"i'm not that kind of guy, dude",6.0,0.8,0.0,0.8,1,1,https://memegenerator.net/instance/10649092
9651,fat-chinese-kid.jpg,fat &amp;, furious,8.0,0.8,0.0,0.8,1,2,None
13720,really-stoned-guy.jpg,escalator stops,help i cant move,6.0,0.8,0.0,0.8,1,1,None
9633,fat-chinese-kid.jpg,this is 911 what is your emergancy,where's my happy meals,11.0,0.8,0.0,0.8,1,9,None
4817,stoner-stanley.jpg,weed gets stolen,calls the cops,95.0,0.8,0.0,0.8,1,5,https://memegenerator.net/instance/76143834/stoner-stanley-weed-gets-stolen-calls-the-cops
11136,batman-slappp.jpg,"this series is anime, not a cart--",anime are cartoons!!!!,17.0,0.8,0.0,0.8,1,9,https://memegenerator.net/instance/59452514/batman-slappp-this-series-is-anime-not-a-cart-anime-are-cartoons
6650,business-cat.jpg,wiskers ,cattorney at paw,17.0,0.8,0.0,0.8,1,1,https://memegenerator.net/instance/10275701/business-cat-wiskers-cattorney-at-paw
4809,stoner-stanley.jpg,what if walmart and toys'r'us teamed up,wal'r'us,118.0,0.8,0.0,0.8,1,0,https://memegenerator.net/instance/34070478/stoner-stanley-what-if-walmart-and-toysrus-teamed-up-walrus
517,the-most-interesting-man-in-the-world.jpg,i don't always listen to nickleback,"in fact, i never do.",82.0,0.75,0.0,0.75,1,9,None
6475,whyyy.jpg,the connection to ea online has been lost ,why?!?!?!,25.0,0.75,0.0,0.75,1,1,https://memegenerator.net/instance/10316586/whyyy-the-connection-to-ea-online-has-been-lost-why
476,the-most-interesting-man-in-the-world.jpg,i don't always use bing,"but when i do, i search for google",122.0,0.75,0.0,0.75,1,6,None
13994,maury-lie-detector.jpg,"you said you could ""keep your doctor no matter what""",the 6 million cancelled insurance plans determined that was a lie,3.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/45759638/maury-lie-detector-you-said-you-could-keep-your-doctor-no-matter-what-the-6-million-cancelled-insura
2428,conspiracy-keanu.jpg,what if my bad luck with relationships,exists because i didn't forward that chain letter in middle school?,268.0,0.75,0.0,0.75,1,9,None
13875,anxiety-cat.jpg,find an anxiety support group on facebook,"too anxious to join, friends may notice and judge",21.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/12440251/anxiety-cat-find-an-anxiety-support-group-on-facebook-too-anxious-to-join-friends-may-notice-and-jud
13063,socially-awesome-awkward-penguin.jpg,last night i partied like it was 1999,because in '99 i was 8 and i stayed at home and watched movies,32.0,0.75,0.0,0.75,1,3,None
11551,advice-dog.jpg,like girl in class,sniff her butt when shes not looking,169.0,0.75,0.0,0.75,1,6,https://memegenerator.net/instance/10288362/advice-dog-like-girl-in-class-sniff-her-butt-when-shes-not-looking
658,futurama-fry.jpg,not sure if i hate facebook,or everyone i know,82.0,0.75,0.0,0.75,1,0,https://memegenerator.net/instance/34009172
1245,philosoraptor.jpg,if time is money,atm is a time machine?,152.0,0.75,0.0,0.75,1,1,https://memegenerator.net/instance/12153261/philosoraptor-if-time-is-money-atm-is-a-time-machine
9614,fat-chinese-kid.jpg,daddy,i made global warming in my pants,32.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/56854290/fat-chinese-kid-daddy-i-made-global-warming-in-my-pants
6334,desk-flip-rage-guy.jpg,me: gets a iphone 5,brother: gets a macbook a iphone7 and a ipad,34.0,0.75,0.0,0.75,1,0,None
3490,pedobear.jpg,it all started one day,when this girl ate my porridge and went to sleep in my bed,50.0,0.75,0.0,0.75,1,7,https://memegenerator.net/instance/14723078/pedobear-it-all-started-one-day-when-this-girl-ate-my-porridge-and-went-to-sleep-in-my-bed
9620,fat-chinese-kid.jpg,hello tech support,can i eat this phone,24.0,0.75,0.0,0.75,1,0,https://memegenerator.net/instance/53367964
6453,whyyy.jpg,meme makers,why u copy other peoples memes?,188.0,0.75,0.0,0.75,1,2,https://memegenerator.net/instance/10626068/whyyy-meme-makers-why-u-copy-other-peoples-memes
8593,chemistry-cat.jpg,a physicist and a biologist went into a relationship,but there was no chemistry,21.0,0.75,0.0,0.75,1,9,http://es.memegenerator.net/instance/58946813/chemistry-cat-a-physicist-and-a-biologist-went-into-a-relationship-but-there-was-no-chemistry
7091,so-youre-telling-me.jpg,so you're telling me,justin bieber pukes on stage and gets 18 million youtube hits?,11.0,0.75,0.0,0.75,1,3,None
7520,skeptical-african-child.jpg,so you're trying to tell me,angelina left without me?,37.0,0.75,0.0,0.75,1,9,None
11920,i-should-buy-a-boat-cat.jpg,i should buy,a building at ucsc,2.0,0.75,0.0,0.75,1,9,None
5011,foul-bachelor-frog.jpg,no stain on jeans ,clean,107.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/17441752/foul-bachelor-frog-no-stain-on-jeans-clean
12953,paranoid-parrot.jpg,fapping,dead relatives are watching from heaven,49.0,0.75,0.0,0.75,1,4,https://memegenerator.net/instance/22486522/paranoid-parrot-fapping-dead-relatives-are-watching-from-heaven
8432,african-children-dancing.jpg,super bowl champion seattle seahawk shirts,arrive tommorow!!,12.0,0.75,0.0,0.75,1,2,https://memegenerator.net/instance/58733324
14123,crying-girl-sad.jpg,my favorite instagram frame,is on my least favorite filter,4.0,0.75,0.0,0.75,1,5,None
8573,chemistry-cat.jpg,how much space does fungi need to grow?   ,as         mushroom as   possible,34.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/59074313/chemistry-cat-how-much-space-does-fungi-need-to-grow-as-mushroom-as-possible
6618,business-cat.jpg,meeting's been moved,to the sun spot in the loby,42.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/11122804/business-cat-meetings-been-moved-to-the-sun-spot-in-the-loby
9451,skeptical-african-kid.jpg,so you're telling me,you drop your food and can't eat it any more?,151.0,0.75,0.0,0.75,1,8,None
8577,chemistry-cat.jpg,amanda told me lithium and argon react with eachother?,li ar,30.0,0.75,0.0,0.75,1,4,https://memegenerator.net/instance/15253021/chemistry-cat-amanda-told-me-lithium-and-argon-react-with-eachother-li-ar
2466,conspiracy-keanu.jpg,if the children are invisible...,how does kony find them?,120.0,0.75,0.0,0.75,1,9,None
14584,musically-oblivious-8th-grader.jpg,blink-182?,"sorry, i'm not good at algebra.",61.0,0.75,0.0,0.75,1,9,None
3317,trollface.jpg,you this read wrong,problem?,134.0,0.75,0.0,0.75,1,9,http://memegenerator.net/instance/16245014
8420,african-children-dancing.jpg,patriots vs 49er's super bowl xlviii shirts,arrive tomorrow,20.0,0.75,0.0,0.75,1,1,None
3052,joseph-ducreux.jpg,enthralling tale,brethren,80.0,0.75,0.0,0.75,1,9,None
186,bad-luck-brian.jpg,looks on the brighter side of life,goes blind,160.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/48814398/bad-luck-brian-looks-on-the-brighter-side-of-life-goes-blind
11146,batman-slappp.jpg,you traded the batmobile,for a nissan,13.0,0.75,0.0,0.75,1,2,http://he.memegenerator.net/instance/30380985
11914,i-should-buy-a-boat-cat.jpg,,i should start posting deep quotes,3.0,0.75,0.0,0.75,1,4,https://memegenerator.net/instance/46224312/i-should-buy-a-boat-cat-i-should-start-posting-deep-quotes
5126,batman-slap-robin.jpg,you must apologize for what you said,if i said it i meant it and i only apologize for my mistakes,23.0,0.75,0.0,0.75,1,4,http://ru.memegenerator.net/instance/57936322
3054,joseph-ducreux.jpg,my calcium enriched beverage,does attract the gentlemen to my manor,79.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/10940809/joseph-ducreux-my-calcium-enriched-beverage-does-attract-the-gentlemen-to-my-manor
9497,skeptical-african-kid.jpg,so your telling me,your gonna give me 31 cents a day for no reason,9.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/46411838/skeptical-african-kid-so-your-telling-me-your-gonna-give-me-31-cents-a-day-for-no-reason
13965,maury-lie-detector.jpg,you said you needed to use the bathroom,your 14 minute conversation in the hallway with a friend determined that was a lie,10.0,0.75,0.0,0.75,1,6,https://memegenerator.net/instance/62221560/maury-lie-detector-you-said-you-needed-to-use-the-bathroom-your-14-minute-conversation-in-the-hallwa
10676,skeptical-black-kid.jpg,so your telling me,if i cry on camera. i get some water?,22.0,0.75,0.0,0.75,1,9,http://memegenerator.net/instance/24270775/skeptical-black-kid-so-your-telling-me-if-i-cry-on-camera-i-get-some-water
13080,socially-awesome-awkward-penguin.jpg,walked up the stairs like a boss,tripped and everyone saw it,16.0,0.75,0.0,0.75,1,4,https://memegenerator.net/instance/35918693/socially-awesome-awkward-penguin-walked-up-the-stairs-like-a-boss-tripped-and-everyone-saw-it
8912,ancient-alien-guy.jpg,i'm not looking for girls,i'm looking for uranus,11.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/19842772/ancient-aliens-im-not-looking-for-girls-im-looking-for-uranus
8894,ancient-alien-guy.jpg,why am i single?,aliens.,14.0,0.75,0.0,0.75,1,7,https://memegenerator.net/instance/13508729/ancient-aliens-why-am-i-single-aliens
1237,philosoraptor.jpg,"if practice makes perfect, but no one is perfect",why practice?,166.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/11106178/philosoraptor-if-practice-makes-perfect-but-no-one-is-perfect-why-practice
6035,overly-attached-girlfriend.jpg,i see you love your mom,"so i changed my name to ""mom""",52.0,0.75,0.0,0.75,1,1,https://memegenerator.net/instance/48813561/overly-attached-girlfriend-2-i-see-you-love-your-mom-so-i-changed-my-name-to-mom
10715,skeptical-black-kid.jpg,"so, you're telling me",tom brady had no knowledge of the deflated footballs?,6.0,0.75,0.0,0.75,1,1,https://memegenerator.net/instance/64319736/skeptical-black-kid-so-youre-telling-me-tom-brady-had-no-knowledge-of-the-deflated-footballs
14860,african-kids-dancing.jpg,someone brought us the bible!,"yeah, free toilet paper!",34.0,0.75,0.0,0.75,1,1,https://memegenerator.net/instance/36162083/african-kids-dancing-someone-brought-us-the-bible-yeah-free-toilet-paper
2293,kermit-the-frog-drinking-tea.jpg,"you're always on your phone and you ""didn't see my text.""",but that's none of my buisness,27.0,0.75,0.0,0.75,1,5,https://memegenerator.net/instance/54884652/kermit-the-frog-drinking-tea-youre-always-on-your-phone-and-you-didnt-see-my-text-but-thats-none-of-
9325,chill-out-lemur.jpg,chill out bro,this ain't world war iii,14.0,0.75,0.0,0.75,1,7,https://memegenerator.net/instance/47787210/chill-out-lemur-chill-out-bro-this-aint-world-war-iii
632,futurama-fry.jpg,not sure if car behind me is flashing lights,or if car behind me is hitting bumps,121.0,0.75,0.0,0.75,1,2,https://memegenerator.net/instance/12569623/futurama-fry-not-sure-if-car-behind-me-is-flashing-lights-or-if-car-behind-me-is-hitting-bumps
12009,challenge-accepted-2.jpg,do nothing?,challenge accepted,52.0,0.75,0.0,0.75,1,2,https://memegenerator.net/instance/10742458/challenge-accepted-2-do-nothing-challenge-accepted
6758,drunk-baby-1.jpg,"this, this table right here",i love... this table,48.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/64909961/drunk-baby-1-shannon-this-this-table-right-here-i-love-this-table-happy-birthday
8732,imagination.jpg,imagine a virus so deadly,that it doesn't even exist,13.0,0.75,0.0,0.75,1,9,None
5724,mr-bean.jpg,how do you embarrass an archaeologist?,give him a used tampon and ask him which period it came from.,26.0,0.75,0.0,0.75,1,6,https://memegenerator.net/instance/71504005/mr-bean-how-do-you-embarrass-an-archaeologist-give-him-a-used-tampon-and-ask-him-which-period-it-cam
8744,imagination.jpg,i have a life,your argument is invalid,6.0,0.75,0.0,0.75,1,5,https://memegenerator.net/instance/35547986/imagination-i-have-a-life-your-argument-is-invalid
5456,high-expectations-asian-father.jpg,watch you tube?,i watch you study instead,67.0,0.75,0.0,0.75,1,8,https://memegenerator.net/instance/24133108/high-expectations-asian-father-watch-you-tube-i-watch-you-study-instead
6759,drunk-baby-1.jpg,so i was staggering home when it hit me.,when did i learn to walk?,44.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/25477302/drunk-baby-1-so-i-was-staggering-home-when-it-hit-me-when-did-i-learn-to-walk
10684,skeptical-black-kid.jpg,so you telling me ,you can have chicken and waffles?,15.0,0.75,0.0,0.75,1,6,https://memegenerator.net/instance/24169509/skeptical-black-kid-so-you-telling-me-you-can-have-chicken-and-waffles
1853,good-guy-greg.jpg,asked for 10 bucks,gives 20,121.0,0.75,0.0,0.75,1,4,None
224,bad-luck-brian.jpg,gets fake girlfriend online,fake girlfriend dies,106.0,0.75,0.0,0.75,1,9,http://ru.memegenerator.net/instance/33541272/bad-luck-brian-gets-fake-girlfriend-online-fake-girlfriend-dies
5134,batman-slap-robin.jpg,batman everyone thinks we're g...,nope just you!,21.0,0.75,0.0,0.75,1,1,https://memegenerator.net/instance/39752441/batman-slap-robin-batman-everyone-thinks-were-g-nope-just-you
8869,ancient-alien-guy.jpg,intelligent natives?,"nope, aliens",22.0,0.75,0.0,0.75,1,8,https://memegenerator.net/instance/10294021/ancient-aliens-intelligent-natives-nope-aliens
6666,business-cat.jpg,"sir, my iq is 150.",now excuse me while i chase this red dot.,14.0,0.75,0.0,0.75,1,6,https://memegenerator.net/instance/10652249/business-cat-sir-my-iq-is-150-now-excuse-me-while-i-chase-this-red-dot
13546,rage-fu.jpg,sends long text,"replys with a ""k""",8.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/28836257/rage-fu-sends-long-text-replys-with-a-k
8918,ancient-alien-guy.jpg,"calls themselves next gen, cant even render 1080p",consoles,10.0,0.75,0.0,0.75,1,1,https://memegenerator.net/instance/42654877/ancient-aliens-calls-themselves-next-gen-cant-even-render-1080p-consoles
3951,socially-awkward-penguin.jpg,goes to open door for hot girl,automatic door.,146.0,0.75,0.0,0.75,1,8,https://memegenerator.net/instance/19655143/socially-awkward-penguin-goes-to-open-door-for-hot-girl-automatic-door
13653,really-stoned-guy.jpg,someone said that i could go to jail for weed,jail sells weed?,101.0,0.75,0.0,0.75,1,8,https://memegenerator.net/instance/37868017/really-stoned-guy-someone-said-that-i-could-go-to-jail-for-weed-jail-sells-weed
12640,sunny-student.jpg,and i was like,adobe flash??,7.0,0.75,0.0,0.75,1,8,None
2723,yo-dawg.jpg,"yo dawg, heard u like rebecca black","gtfo, son",82.0,0.75,0.0,0.75,1,9,None
6780,drunk-baby-1.jpg,"so then i said, no",this little piggy is going to the bar,12.0,0.75,0.0,0.75,1,7,https://memegenerator.net/instance/25283227/drunk-baby-1-so-then-i-said-no-this-little-piggy-is-going-to-the-bar
4551,advice-yoda-gives.jpg,reading this,you are,15.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/63467095/if-youre-reading-this-its-too-late-if-you-are-reading-this-you-are-missing-the-party
2745,yo-dawg.jpg,"yo dawg, i heard you like macs",so we took all the windows out your car,42.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/13269823/yo-dawg-yo-dawg-i-heard-you-like-macs-so-we-took-all-the-windows-out-your-car
10397,so-doge.jpg,such afraid,many scare ,4.0,0.75,0.0,0.75,1,8,None
1406,grumpy-cat.jpg,i love romeo and juliet,they both die,81.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/76579473/grumpy-cat-i-love-romeo-and-juliet-they-both-die
2004,scumbag-steve.jpg,borrows your laptop,installs windows 8,88.0,0.75,0.0,0.75,1,4,None
9063,see-nobody-cares.jpg,hey everybody the u.s. is out of the world cup,see nobody cares,14.0,0.75,0.0,0.75,1,9,None
14883,african-kids-dancing.jpg,what?,never seen a black ompa lompa?,4.0,0.75,0.0,0.75,1,5,None
9071,see-nobody-cares.jpg,"look, your dodge has 10"" exhaust pipes",see? nobody cares,12.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/66038880/see-nobody-cares-look-your-dodge-has-10-exhaust-pipes-see-nobody-cares
10263,that-would-be-great.jpg,if people could stop making memes about robin williams,that would be great,4.0,0.75,0.0,0.75,1,0,https://memegenerator.net/instance/53541092/that-would-be-great-if-people-could-stop-making-memes-about-robin-williams-that-would-be-great
13523,rage-fu.jpg,gets flag to home base,teammate kills you,19.0,0.75,0.0,0.75,1,2,https://memegenerator.net/instance/10351276/rage-fu-gets-flag-to-home-base-teammate-kills-you
10255,that-would-be-great.jpg,if your memes would be funny,that would be great,5.0,0.75,0.0,0.75,1,9,https://memegenerator.net/instance/64473579
1955,scumbag-steve.jpg,goes to thrift store,steals,181.0,0.75,0.0,0.75,1,5,https://memegenerator.net/instance/17578089/scumbag-steve-goes-to-thrift-store-steals
1392,grumpy-cat.jpg,life is good,you should get one.,100.0,0.7142857142857143,0.0,0.7142857142857143,1,0,https://memegenerator.net/instance/68133163/grumpy-cat-life-is-good-you-should-get-one
3800,disaster-girl.jpg,they told me i was grounded,i told them you are fired,53.0,0.8333333333333334,0.1666666666666666,0.6666666666666667,1,8,https://memegenerator.net/instance/18589123/disaster-girl-they-told-me-i-was-grounded-i-told-them-you-are-fired
31,y-u-no.jpg,girls,y u no stop making duck faces?!,168.0,0.6666666666666666,0.0,0.6666666666666666,1,6,https://memegenerator.net/instance/14654614/y-u-no-girls-y-u-no-stop-making-duck-faces
63,y-u-no.jpg,brain,y u no think of something good to put here?,131.0,0.6666666666666666,0.0,0.6666666666666666,1,0,None
8733,imagination.jpg,nobody's loves ,you,12.0,0.6666666666666666,0.0,0.6666666666666666,1,1,http://memegenerator.net/instance/51349577
5145,batman-slap-robin.jpg,i'm taking the ice bucket challeng....,just donate!,15.0,0.6666666666666666,0.0,0.6666666666666666,1,9,https://memegenerator.net/instance/53643168/batman-slap-robin-im-taking-the-ice-bucket-challeng-just-donate
8424,african-children-dancing.jpg,i saw lion king 3d,before it came out in theaters!,15.0,0.6666666666666666,0.0,0.6666666666666666,1,7,https://memegenerator.net/instance/43813761/african-children-dancing-i-saw-lion-king-3d-before-it-came-out-in-theaters
